"BillOfMaterialsID","ProductAssemblyID","ComponentID","StartDate","EndDate","UnitMeasureCode","BOMLevel","PerAssemblyQty","ModifiedDate"
"893","","749","2010-05-26 00:00:00","","EA ","0","1.00","2010-05-12 00:00:00"
"271","","750","2010-03-04 00:00:00","2010-05-03 00:00:00","EA ","0","1.00","2010-05-03 00:00:00"
"34","","750","2010-05-04 00:00:00","","EA ","0","1.00","2010-04-20 00:00:00"
"830","","751","2010-05-26 00:00:00","","EA ","0","1.00","2010-05-12 00:00:00"
"2074","","752","2010-07-08 00:00:00","","EA ","0","1.00","2010-06-24 00:00:00"
"1950","","753","2010-06-19 00:00:00","2010-08-18 00:00:00","EA ","0","1.00","2010-08-18 00:00:00"
"1761","","753","2010-08-19 00:00:00","","EA ","0","1.00","2010-08-05 00:00:00"
"3088","","754","2010-12-15 00:00:00","","EA ","0","1.00","2010-12-01 00:00:00"
"3351","","755","2010-12-23 00:00:00","","EA ","0","1.00","2010-12-09 00:00:00"
"3246","","756","2010-12-23 00:00:00","","EA ","0","1.00","2010-12-09 00:00:00"
"2760","","757","2010-09-15 00:00:00","","EA ","0","1.00","2010-09-01 00:00:00"
"2395","","758","2010-08-05 00:00:00","","EA ","0","1.00","2010-07-22 00:00:00"
"3087","","759","2010-12-15 00:00:00","","EA ","0","1.00","2010-12-01 00:00:00"
"3350","","760","2010-12-23 00:00:00","","EA ","0","1.00","2010-12-09 00:00:00"
"2822","","761","2010-09-15 00:00:00","","EA ","0","1.00","2010-09-01 00:00:00"
"3245","","762","2010-12-23 00:00:00","","EA ","0","1.00","2010-12-09 00:00:00"
"2759","","763","2010-09-15 00:00:00","","EA ","0","1.00","2010-09-01 00:00:00"
"2394","","764","2010-08-05 00:00:00","","EA ","0","1.00","2010-07-22 00:00:00"
"3341","","765","2010-12-23 00:00:00","","EA ","0","1.00","2010-12-09 00:00:00"
"2815","","766","2010-09-15 00:00:00","","EA ","0","1.00","2010-09-01 00:00:00"
"2449","","767","2010-08-05 00:00:00","","EA ","0","1.00","2010-07-22 00:00:00"
"2899","","768","2010-09-15 00:00:00","2010-11-14 00:00:00","EA ","0","1.00","2010-11-14 00:00:00"
"2738","","768","2010-11-15 00:00:00","","EA ","0","1.00","2010-11-01 00:00:00"
"2363","","769","2010-08-05 00:00:00","","EA ","0","1.00","2010-07-22 00:00:00"
"1265","","770","2010-06-09 00:00:00","","EA ","0","1.00","2010-05-26 00:00:00"
