"CustomerID","PersonID","StoreID","TerritoryID","AccountNumber","rowguid","ModifiedDate"
"1","","934","1","AW00000001","3F5AE95E-B87D-4AED-95B4-C3797AFCB74F","2014-09-12 11:15:07"
"2","","1028","1","AW00000002","E552F657-A9AF-4A7D-A645-C429D6E02491","2014-09-12 11:15:07"
"3","","642","4","AW00000003","130774B1-DB21-4EF3-98C8-C104BCD6ED6D","2014-09-12 11:15:07"
"4","","932","4","AW00000004","FF862851-1DAA-4044-BE7C-3E85583C054D","2014-09-12 11:15:07"
"5","","1026","4","AW00000005","83905BDC-6F5E-4F71-B162-C98DA069F38A","2014-09-12 11:15:07"
"6","","644","4","AW00000006","1A92DF88-BFA2-467D-BD54-FCB9E647FDD7","2014-09-12 11:15:07"
"7","","930","1","AW00000007","03E9273E-B193-448E-9823-FE0C44AEED78","2014-09-12 11:15:07"
"8","","1024","5","AW00000008","801368B1-4323-4BFA-8BEA-5B5B1E4BD4A0","2014-09-12 11:15:07"
"9","","620","5","AW00000009","B900BB7F-23C3-481D-80DA-C49A5BD6F772","2014-09-12 11:15:07"
"10","","928","6","AW00000010","CDB6698D-2FF1-4FBA-8F22-60AD1D11DABD","2014-09-12 11:15:07"
"11","","1022","6","AW00000011","750F3495-59C4-48A0-80E1-E37EC60E77D9","2014-09-12 11:15:07"
"12","","622","6","AW00000012","947BCAF1-1F32-44F3-B9C3-0011F95FBE54","2014-09-12 11:15:07"
"13","","434","7","AW00000013","B0FA5854-2511-439B-A7AC-50C9C460B175","2014-09-12 11:15:07"
"14","","1020","8","AW00000014","2F96BEDC-723D-468F-834B-B2B8AE79C849","2014-09-12 11:15:07"
"15","","624","9","AW00000015","0340737B-D4FA-4795-93AA-CAEB8371BCF9","2014-09-12 11:15:07"
"16","","432","10","AW00000016","C9381589-D31C-4EFE-8978-8D3449EB1F0F","2014-09-12 11:15:07"
"17","","1018","5","AW00000017","34DB417F-1E0B-4408-9FF6-987E59D0D73C","2014-09-12 11:15:07"
"18","","1332","3","AW00000018","C04D6B4D-94C6-4C5C-A44C-B449C0AC1B45","2014-09-12 11:15:07"
"19","","430","1","AW00000019","69AE5D43-31BE-4B76-BFBB-5A23C4788BBC","2014-09-12 11:15:07"
"20","","1016","1","AW00000020","E010C10A-F1C3-4BBA-81CA-A7E083350400","2014-09-12 11:15:07"
"21","","1334","4","AW00000021","564E0B42-4609-43DE-9881-914DA433D82D","2014-09-12 11:15:07"
"22","","494","3","AW00000022","9774AED6-D673-412D-B481-2573E470B478","2014-09-12 11:15:07"
"23","","1014","4","AW00000023","733F8250-3251-4C2A-8C85-C285BB76B7B4","2014-09-12 11:15:07"
"24","","1336","4","AW00000024","C111E51D-178D-4DBD-A6FF-F1CCBF4B1AAD","2014-09-12 11:15:07"
"25","","492","4","AW00000025","31D03546-FB2A-4488-890E-4709A659E3F0","2014-09-12 11:15:07"
"26","","1012","5","AW00000026","FD4898DE-D128-4719-8C74-9F77605AAC4A","2014-09-12 11:15:07"
"27","","1338","5","AW00000027","CACA5149-D799-473B-847F-83F3613D3D1F","2014-09-12 11:15:07"
"28","","490","6","AW00000028","9B8A04A4-D909-4F49-B1C5-3DE317D69B2A","2014-09-12 11:15:07"
"29","","1010","6","AW00000029","ECA7C8FA-490B-4B97-9C32-043C90F789E8","2014-09-12 11:15:07"
"30","","1340","6","AW00000030","2B15DFB1-831E-49E7-B337-395798B129E7","2014-09-12 11:15:07"
"31","","942","7","AW00000031","EFFA209A-A110-4F94-887D-E50E44FB06EA","2014-09-12 11:15:07"
"32","","1008","8","AW00000032","B9A28813-542A-4FBF-AE79-BAD64A5E133B","2014-09-12 11:15:07"
"33","","1342","9","AW00000033","E6D92B96-FA82-41C0-8945-66A8A5EC017B","2014-09-12 11:15:07"
"34","","940","10","AW00000034","9EDDA794-7862-4FF4-B8E2-528847CAB2BD","2014-09-12 11:15:07"
"35","","1006","2","AW00000035","8D74B6B9-6C96-44A5-BEC4-0E9736D191BE","2014-09-12 11:15:07"
"36","","1344","2","AW00000036","53C0491D-8AE8-4B16-A830-2078FDDF46AD","2014-09-12 11:15:07"
"37","","938","1","AW00000037","C6EBB29A-CC67-459C-90E3-339E0F912906","2014-09-12 11:15:07"
"38","","1004","1","AW00000038","E5EDA3F3-4EF1-4806-BD36-E61F3CB2E044","2014-09-12 11:15:07"
"39","","1346","3","AW00000039","6808B1ED-3C9A-401D-B284-9AC31166D9EB","2014-09-12 11:15:07"
"40","","936","4","AW00000040","AA5E28F6-16C8-4D80-894E-17531F2CF972","2014-09-12 11:15:07"
"41","","1002","4","AW00000041","E1BA20ED-DA19-4392-A8A8-C2E670438FFB","2014-09-12 11:15:07"
"42","","1348","4","AW00000042","64ACD300-337D-4D39-A2C4-FD5972611934","2014-09-12 11:15:07"
"43","","1290","1","AW00000043","9E449D3E-5D79-4F65-A4F1-10DD3B0E0766","2014-09-12 11:15:07"
"44","","1000","5","AW00000044","FB4B073C-6B38-4233-83FE-4236558F4754","2014-09-12 11:15:07"
"45","","1350","5","AW00000045","B50043ED-C66B-4130-BEBC-07D413043991","2014-09-12 11:15:07"
"46","","1288","6","AW00000046","21849ECF-88C2-4574-89D5-397B84DF1D0F","2014-09-12 11:15:07"
"47","","998","6","AW00000047","0D9ABE85-D952-432D-831A-8BEB7F4E49D0","2014-09-12 11:15:07"
"48","","1352","6","AW00000048","E656589A-198F-454F-B02F-9CE324457BDF","2014-09-12 11:15:07"
"49","","1286","7","AW00000049","F3DFA401-85C6-4118-B5C5-6554310A1192","2014-09-12 11:15:07"
"50","","996","8","AW00000050","0A3E846A-2DCC-4B6E-8AB3-968B5AB859F4","2014-09-12 11:15:07"
"51","","1354","9","AW00000051","E4C69E3E-BE4B-4DCD-B2F0-1237B391BC44","2014-09-12 11:15:07"
"52","","1284","10","AW00000052","8FB34B30-B19D-4AEC-B02E-F1BE942800E5","2014-09-12 11:15:07"
"53","","994","2","AW00000053","81D3B740-DCF1-4F23-A5E3-D81353280016","2014-09-12 11:15:07"
"54","","1356","2","AW00000054","123B3EBF-4EB0-442A-8482-A4E001CCCF89","2014-09-12 11:15:07"
"55","","1282","1","AW00000055","F5D3997B-AD06-46A0-94AF-A4460F4BE471","2014-09-12 11:15:07"
"56","","992","1","AW00000056","570B1682-9BB1-4359-984D-8F728E3D6973","2014-09-12 11:15:07"
"57","","1358","3","AW00000057","7FF17923-E670-4F42-87A3-A6D1AF18EA05","2014-09-12 11:15:07"
"58","","1280","3","AW00000058","E324FEE8-1EE7-4B96-854E-CFDA7B0CBBC8","2014-09-12 11:15:07"
"59","","990","4","AW00000059","60708606-604C-44BE-90E1-3A0925B8060E","2014-09-12 11:15:07"
