"ProductID","LocationID","Shelf","Bin","Quantity","rowguid","ModifiedDate"
"1","1","A","1","408","47A24246-6C43-48EB-968F-025738A8A410","2014-08-08 00:00:00"
"1","6","B","5","324","D4544D7D-CAF5-46B3-AB22-5718DCC26B5E","2014-08-08 00:00:00"
"1","50","A","5","353","BFF7DC60-96A8-43CA-81A7-D6D2ED3000A8","2014-08-08 00:00:00"
"2","1","A","2","427","F407C07A-CA14-4684-A02C-608BD00C2233","2014-08-08 00:00:00"
"2","6","B","1","318","CA1FF2F4-48FB-4960-8D92-3940B633E4C1","2014-08-08 00:00:00"
"2","50","A","6","364","D38CFBEE-6347-47B1-B033-0E278CCA03E2","2014-08-08 00:00:00"
"3","1","A","7","585","E18A519B-FB5E-4051-874C-58CD58436C95","2008-03-31 00:00:00"
"3","6","B","9","443","3C860C96-15FF-4DF4-91D7-B237FF64480F","2008-03-31 00:00:00"
"3","50","A","10","324","1339E5E3-1F8E-4B82-A447-A8666A264F0C","2008-03-31 00:00:00"
"4","1","A","6","512","6BEAF0A0-971A-4CE1-96FE-692807D5DC00","2014-08-08 00:00:00"
"4","6","B","10","422","2C82427A-63F1-4877-A1F6-A27B4D201EB6","2014-08-08 00:00:00"
"4","50","A","11","388","FD912E69-EFA2-4AB7-82A4-03F5101AF11C","2014-08-08 00:00:00"
"316","5","A","11","532","1EE3DBD3-2A7E-47DC-AF99-1B585575EFB9","2008-03-31 00:00:00"
"316","10","B","1","388","CB2A24D7-9B70-4140-8836-9EB7592621D3","2008-03-31 00:00:00"
"316","50","B","8","441","36B375A3-022A-45BF-B425-DBFFAAC3145A","2008-03-31 00:00:00"
"317","1","C","1","283","C04FC1CF-1D2B-4480-BA13-64C6EF780F4B","2014-08-09 00:00:00"
"317","5","A","1","158","83332A73-48A9-401D-95F4-385C944D716F","2014-08-09 00:00:00"
"317","50","A","21","152","4072C90C-A867-4F64-882F-EC45ADA1B79C","2014-08-09 00:00:00"
"318","1","C","2","136","F287EFD3-CCC5-4344-9F4A-E588BBF29801","2014-08-09 00:00:00"
"318","5","A","2","171","B62232E8-90B5-4DA1-BFE1-453AA1917EFC","2014-08-09 00:00:00"
"318","50","A","22","132","D758C516-D9BF-4AA6-8E57-F5BD6D568F97","2014-08-09 00:00:00"
"319","1","C","3","308","7367821F-BB8B-4102-86ED-A7FB7054F8E1","2014-08-09 00:00:00"
"319","5","A","3","184","BFB760AC-0767-4F76-8670-49488D0F731D","2014-08-09 00:00:00"
"319","50","A","23","305","FEBBCC76-2764-48A3-A086-77D1E883137C","2014-08-09 00:00:00"
"320","1","C","4","481","BD134ECD-D4DA-406C-A7CE-7EC40F9BCF34","2014-08-09 00:00:00"
"320","5","A","4","372","DEEDBA07-171B-4038-88A5-A57166E8F446","2014-08-09 00:00:00"
"320","50","A","24","283","4FEF28B3-6652-4D3A-999B-00784D401E42","2014-08-09 00:00:00"
"321","1","C","6","569","AFDBCF09-10F8-4F3C-86E1-379310FFBFE3","2014-08-09 00:00:00"
"321","5","A","6","540","65FC4167-6A09-46C9-A262-632B945B2FBB","2014-08-09 00:00:00"
"321","50","A","26","641","B291EE86-CB6E-4D74-B47D-B8B0794CA9C4","2014-08-09 00:00:00"
"322","1","C","7","622","7726D791-A784-4754-B144-BB25C9E2F38A","2014-08-09 00:00:00"
"322","5","A","7","587","04DA1BB9-9625-4E71-B861-93F64A3A53DC","2014-08-09 00:00:00"
"322","50","A","27","475","02D51ED0-AF15-44E9-A355-86433710B0C0","2014-08-09 00:00:00"
"323","1","C","35","603","F7863985-C001-44D5-A939-554C67DF203A","2014-08-09 00:00:00"
"323","5","A","12","568","BD637BC5-EB67-4424-8F92-DCA208276E6F","2014-08-09 00:00:00"
"323","50","A","28","513","968DAE62-EA98-49FE-B190-D1EC7B9E9F0C","2014-08-09 00:00:00"
"324","1","C","36","585","C6E3BCDE-5F39-40EF-B253-AD2B018AB1CC","2008-03-31 00:00:00"
"324","5","A","13","568","AEC9BF74-0E06-4181-B6C7-C8FA41126A4E","2008-03-31 00:00:00"
"324","50","A","29","476","CEE69FD4-22EC-4D83-B9EC-C0AF63967839","2008-03-31 00:00:00"
"325","1","H","1","569","624AC935-868E-40E0-8668-950451746F90","2014-08-12 00:00:00"
"325","6","G","1","540","CF93BBFB-A391-4313-814D-82D62FBE1AFB","2014-08-12 00:00:00"
"325","60","A","1","641","D42750B2-2C8A-4457-9DDA-4B43CBDC4594","2014-08-12 00:00:00"
"326","1","H","2","622","71A75809-8B9E-4F87-8687-8BDD367F2F72","2014-08-12 00:00:00"
"326","6","G","2","587","67777062-A86A-4FED-BF8F-F7641EDF9444","2014-08-12 00:00:00"
"326","60","A","2","475","EADAA7F8-E962-46C4-977F-05538C494BCD","2014-08-12 00:00:00"
"327","5","K","1","408","61ADD309-16EF-40D4-9853-548F4EFDC40C","2008-03-31 00:00:00"
"327","10","F","1","443","553C89BB-2063-48E3-966F-B557EFD1F4E9","2008-03-31 00:00:00"
"327","50","B","9","513","A3AAD1F8-BA38-4F6C-99D3-DBC5E2BC9774","2008-03-31 00:00:00"
"328","5","A","8","568","BF52885D-74A3-422B-8C75-8A46350D9A6D","2008-03-31 00:00:00"
"328","10","D","1","585","C6C865B4-0DB2-44B7-9D5F-12D43B75F803","2008-03-31 00:00:00"
"328","50","A","14","476","EA52800F-A344-4C4A-9E37-D48A67FBBB6C","2008-03-31 00:00:00"
"329","5","A","9","558","7A1417A3-21EA-4DA1-B3D1-E85BAB7D8A9E","2008-03-31 00:00:00"
"329","10","D","2","576","AD6DB38A-997B-4AD8-A03B-7F38F8C3B7E1","2008-03-31 00:00:00"
"329","50","A","15","467","6CB842CB-7B2F-4D89-9187-3C81630FB907","2008-03-31 00:00:00"
"330","5","A","10","548","AD971345-BF63-47D4-975D-C56A6081FF0A","2008-03-31 00:00:00"
"330","10","D","3","566","FF9889D7-E242-4761-ACE0-EB0D95147FA8","2008-03-31 00:00:00"
"330","50","A","16","457","E6D96AF6-7E4C-46F7-9A2C-5E94CF403888","2008-03-31 00:00:00"
"331","5","J","5","574","D52D418A-C295-4CB9-A410-8EE245FC61A7","2008-03-31 00:00:00"
"331","10","C","6","441","1D251426-738F-4B5A-96C2-3C9226E18905","2008-03-31 00:00:00"
"331","50","A","12","390","85990921-D43F-41F9-9095-5863D687BB43","2008-03-31 00:00:00"
"332","5","J","6","344","171A680F-7A90-45DF-980D-48757F4B4EB4","2014-08-12 00:00:00"
"332","10","C","7","233","7A23DC3C-9BDC-4AA5-BA41-0C4E9F4B6E18","2014-08-12 00:00:00"
"332","50","A","13","267","C08F7632-254C-43EA-BF10-8EC79BBB4374","2014-08-12 00:00:00"
"341","1","E","4","372","00EED5CA-525C-4174-885D-846DEEFC223E","2014-08-12 00:00:00"
"341","50","G","10","392","AFB7CA1E-6F91-459B-B508-31D773564AC8","2014-08-12 00:00:00"
"341","60","S","1","339","A07991C9-CE2F-4081-A5F3-AC4DE98BA485","2014-08-12 00:00:00"
"342","1","E","5","369","FEA262C8-D498-4B77-B8FE-82258AFF6AD6","2014-08-12 00:00:00"
"342","50","G","12","388","EC6C3097-17F6-4108-A55B-3C239A965360","2014-08-12 00:00:00"
"342","60","G","11","336","7542FCE0-B9F7-42EC-9671-A4809C568743","2014-08-12 00:00:00"
"343","1","E","6","568","A82C0072-9A18-4318-A62A-92304EEB0443","2014-08-10 00:00:00"
"343","50","S","3","606","656A9A1F-6F1E-4D75-9CA5-FCD0FE3CC27B","2014-08-10 00:00:00"
